payment_id,ride_id,amount,method,status
0,0,13664.8,card,success
1,1,7146.44,wallet,failed
2,2,13735.28,cash,failed
3,3,14178.17,card,success
4,4,13198.01,cash,success
5,5,12500.7,wallet,success
6,6,12364.15,card,success
7,7,9884.86,cash,failed
8,8,6953.3,card,success
9,9,9633.13,card,failed
10,10,9910.19,cash,success
11,11,9785.76,wallet,failed
12,12,10418.17,wallet,success
13,13,5699.59,cash,failed
14,14,7489.58,card,success
15,15,10771.02,wallet,success
16,16,9819.69,card,success
17,17,11995.24,wallet,success
18,18,8353.44,card,success
19,19,9498.43,wallet,failed
20,20,6858.98,wallet,success
21,21,5413.9,wallet,failed
22,22,11135.78,cash,success
23,23,12033.88,cash,success
24,24,13703.75,wallet,success
25,25,9644.97,wallet,failed
26,26,12808.45,cash,success
27,27,14462.67,wallet,success
28,28,6108.57,card,success
29,29,8191.99,card,failed
30,30,14049.29,card,failed
31,31,8019.4,wallet,success
32,32,13132.22,wallet,failed
33,33,6218.46,card,success
34,34,8924.68,card,success
35,35,5012.66,card,failed
36,36,13197.53,wallet,failed
37,37,7172.35,cash,success
38,38,8345.91,wallet,success
39,39,9279.44,cash,failed
40,40,5428.61,card,success
41,41,11980.23,card,failed
42,42,5129.95,cash,failed
43,43,12784.38,cash,success
44,44,5006.96,cash,failed
45,45,7881.55,card,failed
46,46,8370.84,card,success
47,47,7590.55,cash,success
48,48,5624.29,cash,failed
49,49,12627.28,cash,success
50,50,8845.09,card,failed
51,51,13846.16,cash,success
52,52,12874.41,cash,failed
53,53,7109.49,card,success
54,54,8038.63,card,success
55,55,14724.37,cash,failed
56,56,5288.32,cash,failed
57,57,14009.4,wallet,success
58,58,13125.49,cash,failed
59,59,7780.3,card,success
60,60,9413.91,cash,success
61,61,8643.96,wallet,success
62,62,10647.96,card,success
63,63,9707.24,cash,success
64,64,9427.83,cash,success
65,65,9318.04,card,failed
66,66,7365.74,cash,failed
67,67,12294.0,cash,success
68,68,13924.26,card,success
69,69,9416.51,wallet,failed
70,70,5454.52,card,success
71,71,10166.49,wallet,failed
72,72,13997.69,cash,success
73,73,10720.37,cash,failed
74,74,10779.12,card,failed
75,75,13583.53,cash,success
76,76,7233.4,wallet,failed
77,77,7102.76,cash,success
78,78,12265.25,wallet,failed
79,79,7489.11,wallet,failed
80,80,9526.11,cash,success
81,81,9387.68,cash,failed
82,82,11255.16,wallet,success
83,83,11107.74,wallet,failed
84,84,7862.32,cash,success
85,85,12768.44,wallet,success
