ride_id,user_id,driver_id,city,distance_km,base_fare,timestamp
0,182,118,Depok,12.04,13658.782747539855,2026-03-03 11:27:39.872625
1,652,131,Banten,7.28,7142.802570600634,2026-03-30 10:39:27.840630
2,951,105,Depok,6.85,13731.851005486567,2026-04-03 05:28:16.920457
3,155,83,Jakarta,14.64,14170.852625231306,2026-02-11 23:26:30.456153
4,806,179,Tangerang,17.81,13189.109718705613,2026-01-28 11:50:57.832589
5,659,172,Bogor,14.94,12493.231462615606,2026-02-04 06:06:19.802404
6,772,108,Tangerang,9.67,12359.318878563208,2026-02-16 09:54:07.768261
7,652,57,Bogor,10.73,9879.490038828371,2026-03-29 21:40:32.932467
8,138,141,Banten,16.81,6944.894085155325,2026-02-20 00:44:28.690546
9,938,78,Depok,6.22,9630.021599271182,2026-02-11 00:03:39.387631
10,230,193,Jakarta,16.41,9901.989129591006,2026-03-27 12:56:19.759737
11,993,151,Bogor,1.07,9785.226087011808,2026-03-17 21:52:35.521185
12,971,61,Jakarta,4.41,10415.965279993292,2026-02-08 19:36:34.918499
13,851,161,Bogor,9.93,5694.62970013633,2026-03-06 21:04:08.872814
14,263,97,Banten,1.72,7488.71704874281,2026-01-25 15:01:17.182464
15,426,179,Bogor,17.53,10762.254345975565,2026-04-14 01:19:05.347552
16,403,128,Tangerang,13.76,9812.814854408773,2026-03-10 11:17:18.235120
17,139,180,Bogor,14.65,11987.911972150885,2026-04-02 19:56:41.118492
18,543,23,Tangerang,19.46,8343.705778497235,2026-02-20 21:36:14.373450
19,790,56,Depok,5.12,9495.867295364695,2026-02-14 22:32:16.859145
20,32,196,Tangerang,9.82,6854.0667623735535,2026-02-02 09:12:38.069504
21,318,156,Banten,18.93,5404.432430383097,2026-03-02 12:08:12.637129
22,210,104,Banten,14.27,11128.644125223433,2026-03-11 09:00:27.376043
23,960,166,Depok,16.67,12025.544139387173,2026-03-04 12:35:08.858900
24,201,4,Jakarta,16.47,13695.512749396103,2026-03-03 08:38:23.785661
25,60,76,Banten,12.01,9638.963895489984,2026-03-25 06:05:20.042424
26,676,104,Jakarta,14.03,12801.430786395595,2026-02-20 18:06:44.299267
27,194,169,Banten,2.6,14461.373155674475,2026-02-20 20:59:52.318016
28,404,17,Banten,14.05,6101.547129880724,2026-02-11 04:48:51.924886
29,882,111,Depok,9.18,8187.402100242231,2026-02-20 01:55:19.344880
30,602,110,Jakarta,11.87,14043.351152958088,2026-02-15 13:27:35.780702
31,721,198,Bogor,19.09,8009.859088627674,2026-01-29 11:50:45.399968
32,660,31,Banten,1.06,13131.688547268088,2026-02-04 06:58:32.131634
33,329,119,Bogor,4.8,6216.060719421956,2026-03-30 07:04:51.556480
34,45,177,Jakarta,19.76,8914.802285404297,2026-02-13 08:30:53.928975
35,938,54,Jakarta,9.94,5007.688040677421,2026-03-24 16:44:13.928480
36,543,162,Jakarta,7.65,13193.706663596757,2026-02-08 23:01:45.497087
37,995,138,Tangerang,15.13,7164.789549578629,2026-02-12 06:38:36.089737
38,49,124,Depok,1.68,8345.069307087126,2026-02-07 13:49:56.623980
39,18,50,Jakarta,15.22,9271.832340277313,2026-03-24 06:41:52.814668
40,565,73,Banten,1.3,5427.955476884915,2026-01-26 16:34:42.126579
41,775,73,Banten,10.31,11975.076611997818,2026-02-03 20:03:43.678588
42,748,101,Jakarta,4.05,5127.923835139519,2026-04-02 15:32:23.800991
43,288,157,Depok,7.16,12780.796034789853,2026-02-02 12:39:03.250257
44,45,173,Bogor,12.97,5000.472442735694,2026-03-20 14:04:35.559927
45,580,131,Tangerang,9.87,7876.613392364052,2026-03-18 10:15:41.628469
46,976,139,Depok,17.11,8362.282924850157,2026-02-20 20:59:44.476262
47,462,103,Tangerang,12.74,7584.181238974084,2026-04-10 20:00:45.533985
48,449,3,Banten,19.35,5614.61523205389,2026-01-20 09:34:07.645308
49,696,40,Banten,18.19,12618.180097321434,2026-01-30 01:41:19.927221
50,948,93,Depok,1.94,8844.119889256217,2026-04-12 09:47:09.671619
51,169,120,Banten,14.76,13838.780493446893,2026-03-26 16:06:32.529640
52,272,150,Bogor,17.09,12865.86484467074,2026-02-23 12:03:50.288975
53,404,53,Depok,11.54,7103.72313316741,2026-04-12 00:24:48.573393
54,308,36,Depok,5.19,8036.039079364758,2026-02-12 20:35:09.721305
55,369,14,Depok,16.89,14715.923346907926,2026-03-01 08:32:47.766930
56,348,36,Tangerang,17.94,5279.354110780334,2026-02-27 04:20:16.183655
57,643,176,Depok,16.88,14000.957891231752,2026-04-09 05:33:02.354051
58,148,30,Depok,19.47,13115.756489515763,2026-03-20 17:52:14.099230
59,42,122,Jakarta,4.56,7778.017449743962,2026-04-18 13:57:33.378455
60,512,72,Tangerang,6.33,9410.74505139106,2026-03-06 07:45:19.027875
61,298,101,Jakarta,7.04,8640.439432006904,2026-02-20 11:45:25.670011
62,420,72,Bogor,14.74,10640.59077123341,2026-02-07 20:48:25.531998
63,964,69,Depok,2.25,9706.113861950565,2026-01-29 14:24:27.571160
